Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password
532160,Drs.,Kay,J,Orta,F,kay.orta@aol.com,Erik Orta,Obdulia Orta,Riddle,12/2/1968,2:41:58 AM,48.68,52,12/4/1995,Q4,H2,1995,12,December,Dec,4,Monday,Mon,21.66,42572,15%,420-67-1134,218-202-7062,Foxhome,Wilkin,Foxhome,MN,56543,Midwest,kjorta,3lKu9!^MPT
133740,Ms.,Ara,A,Sargent,F,ara.sargent@gmail.com,Quinton Sargent,Bea Sargent,Marcus,8/15/1978,6:57:07 PM,38.98,45,3/24/2008,Q1,H1,2008,3,March,Mar,24,Monday,Mon,9.35,70427,19%,313-35-7870,210-929-2033,Sherman,Grayson,Sherman,TX,75090,South,aasargent,qxNNtD0o^s7m
767333,Ms.,Logan,U,Greer,F,logan.greer@gmail.com,Zachery Greer,Sam Greer,Johns,7/15/1958,12:13:34 PM,59.08,50,4/17/1993,Q2,H1,1993,4,April,Apr,17,Saturday,Sat,24.3,75006,7%,219-89-5664,206-330-2575,Mineral,Lewis,Mineral,WA,98355,West,lugreer,khAL3IO^
970952,Drs.,Gaynelle,A,Pfeiffer,F,gaynelle.pfeiffer@hotmail.com,Clifton Pfeiffer,Annetta Pfeiffer,Cartwright,1/11/1980,12:44:13 PM,37.57,48,4/4/2011,Q2,H1,2011,4,April,Apr,4,Monday,Mon,6.32,80851,24%,227-99-0621,314-636-4074,Centerview,Johnson,Centerview,MO,64019,Midwest,gapfeiffer,8nY~{0l;
631665,Mr.,Jesse,K,Culbertson,M,jesse.culbertson@ibm.com,Hung Culbertson,Shirley Culbertson,Candelaria,11/28/1980,5:41:34 PM,36.69,53,11/25/2003,Q4,H2,2003,11,November,Nov,25,Tuesday,Tue,13.68,57646,13%,091-02-9260,201-510-0491,Cranford,Union,Cranford,NJ,7016,Northeast,jkculbertson,5X35E$mF@\dt^
867953,Mr.,Wm,J,Rhoads,M,wm.rhoads@gmail.com,Darius Rhoads,Madonna Rhoads,Shepherd,2/13/1995,9:36:26 AM,22.47,88,8/23/2016,Q3,H2,2016,8,August,Aug,23,Tuesday,Tue,0.93,106101,12%,727-10-8606,215-456-1651,Fallentimber,Cambria,Fallentimber,PA,16639,Northeast,wjrhoads,IwRL1xj~
341081,Ms.,Hiroko,E,Odom,F,hiroko.odom@gmail.com,Maxwell Odom,Ayanna Odom,Shore,3/14/1988,12:25:08 AM,29.39,56,4/11/2015,Q2,H1,2015,4,April,Apr,11,Saturday,Sat,2.3,131367,27%,706-18-7956,270-425-3245,Jacobs,Carter,Jacobs,KY,41150,South,heodom,9^AEByyC\-
149885,Ms.,Elaine,R,Straub,F,elaine.straub@gmail.com,Merle Straub,Linsey Straub,Harter,7/10/1972,2:12:06 PM,45.08,56,10/10/1994,Q4,H2,1994,10,October,Oct,10,Monday,Mon,22.81,143411,4%,485-41-2150,236-273-4362,Glen Allen,Henrico,Glen Allen,VA,23060,South,erstraub,4{n5N%<b3!24@M
758203,Prof.,Dewey,A,Holcomb,M,dewey.holcomb@bp.com,Emmanuel Holcomb,Debora Holcomb,Prater,7/25/1987,5:55:56 PM,30.03,64,9/1/2011,Q3,H2,2011,9,September,Sep,1,Thursday,Thu,5.91,59295,30%,519-87-2832,406-849-7294,Billings,Yellowstone,Billings,MT,59112,West,daholcomb,6S_BRw5E>
244507,Hon.,Miriam,F,Sebastian,F,miriam.sebastian@bellsouth.net,Rodolfo Sebastian,Rossana Sebastian,Schramm,1/13/1959,5:21:19 PM,58.58,47,4/21/2003,Q2,H1,2003,4,April,Apr,21,Monday,Mon,14.28,171449,19%,091-02-2332,205-619-0047,Huntsville,Madison,Huntsville,AL,35895,South,mfsebastian,X@~xB|Cp
984088,Mr.,Ricardo,H,Carson,M,ricardo.carson@aol.com,Damien Carson,Raeann Carson,Mccaffrey,4/28/1975,1:15:47 AM,42.28,66,5/23/2017,Q2,H1,2017,5,May,May,23,Tuesday,Tue,0.18,82127,6%,772-02-4593,423-328-9681,New Johnsonville,Humphreys,New Johnsonville,TN,37134,South,rhcarson,2sQx?TYiq}UP2
685600,Hon.,Leon,G,Keeling,M,leon.keeling@gmail.com,Lionel Keeling,Aretha Keeling,Burchfield,10/13/1995,11:54:45 PM,21.81,57,12/25/2016,Q4,H2,2016,12,December,Dec,25,Sunday,Sun,0.59,73165,24%,319-11-0384,405-226-2075,Clearview,Clearview,Clearview,OK,74835,South,lgkeeling,x7Y\x_SU8L&1
566899,Mr.,Jorge,Z,Sellars,M,jorge.sellars@bp.com,Marcellus Sellars,Shella Sellars,Song,9/21/1980,1:51:45 PM,36.87,79,2/22/2016,Q1,H1,2016,2,February,Feb,22,Monday,Mon,1.43,129880,20%,592-99-0081,270-607-2767,Lexington,Fayette,Lexington,KY,40585,South,jzsellars,VWz0C5]T~Boj}6
200025,Mrs.,Virgen,C,Friday,F,virgen.friday@gmail.com,Samuel Friday,Asha Friday,Whitson,11/2/1986,8:00:56 AM,30.76,43,7/29/2011,Q3,H2,2011,7,July,Jul,29,Friday,Fri,6,58466,19%,311-35-4330,319-700-9734,Garwin,Tama,Garwin,IA,50632,Midwest,vcfriday,y2w:H^g*3n
150805,Mr.,Cedrick,R,Glass,M,cedrick.glass@cox.net,Jules Glass,Ozella Glass,Hinkle,8/6/1981,12:19:14 PM,36,52,2/9/2009,Q1,H1,2009,2,February,Feb,9,Monday,Mon,8.47,66130,25%,281-15-0051,319-461-5758,Sioux City,Woodbury,Sioux City,IA,51102,Midwest,crglass,gU4%fK.C
590040,Mr.,Dale,P,Bear,M,dale.bear@charter.net,Millard Bear,Casandra Bear,Reinhart,1/15/1983,1:37:46 AM,34.56,79,5/21/2009,Q2,H1,2009,5,May,May,21,Thursday,Thu,8.19,77419,17%,400-73-5935,401-224-9954,Portsmouth,Newport,Portsmouth,RI,2871,Northeast,dpbear,HiOZtv0*u:w&W
696123,Ms.,Paulina,D,Gaddy,F,paulina.gaddy@hotmail.com,Francisco Gaddy,Tabatha Gaddy,Weinberg,6/9/1984,12:06:15 AM,33.16,48,5/16/2009,Q2,H1,2009,5,May,May,16,Saturday,Sat,8.21,176500,7%,390-33-6562,270-610-0216,Green Road,Knox,Green Road,KY,40946,South,pdgaddy,N|h<j$Mab
208998,Dr.,Ted,P,Minnick,M,ted.minnick@yahoo.com,Sergio Minnick,Yahaira Minnick,Irizarry,11/28/1983,11:38:00 AM,33.69,76,7/31/2010,Q3,H2,2010,7,July,Jul,31,Saturday,Sat,7,94086,7%,429-99-3025,215-851-8164,Sewickley,Allegheny,Sewickley,PA,15143,Northeast,tpminnick,RE0G-RiztWh
658702,Mr.,Man,Z,Shirley,M,man.shirley@exxonmobil.com,Jeremiah Shirley,Ursula Shirley,Lorenzo,12/4/1978,8:27:54 PM,38.67,79,8/1/2011,Q3,H2,2011,8,August,Aug,1,Monday,Mon,5.99,48328,11%,704-18-6646,229-657-3008,Meansville,Pike,Meansville,GA,30256,South,mzshirley,2;2*R!dVE
388720,Mrs.,Kirstie,J,Pritchett,F,kirstie.pritchett@hotmail.com,Mitchel Pritchett,Genevie Pritchett,Waddell,5/26/1977,12:35:53 AM,40.2,50,3/16/2001,Q1,H1,2001,3,March,Mar,16,Friday,Fri,16.38,197891,13%,380-37-5547,228-512-7398,Carthage,Leake,Carthage,MS,39051,South,kjpritchett,cjSMMP+]F
639425,Mrs.,Griselda,G,Schuster,F,griselda.schuster@msn.com,Hipolito Schuster,Maryanna Schuster,Temple,8/7/1984,6:12:34 PM,32.99,42,8/24/2010,Q3,H2,2010,8,August,Aug,24,Tuesday,Tue,6.93,63389,19%,315-35-9429,236-738-1147,Cullen,Charlotte,Cullen,VA,23934,South,ggschuster,Ip&oj#$UL]G
790036,Mr.,Demetrius,K,Deboer,M,demetrius.deboer@yahoo.co.uk,Merlin Deboer,Lita Deboer,Barrios,8/6/1962,5:04:35 PM,55.01,67,10/27/2004,Q4,H2,2004,10,October,Oct,27,Wednesday,Wed,12.76,107618,22%,079-02-7897,262-760-3869,Aniwa,Marathon,Aniwa,WI,54408,Midwest,dkdeboer,AvDW~6/H#GD\
734056,Ms.,Esta,P,Brandenburg,F,esta.brandenburg@hotmail.com,Darrick Brandenburg,Helaine Brandenburg,Arthur,6/23/1988,11:55:51 PM,29.12,58,8/23/2013,Q3,H2,2013,8,August,Aug,23,Friday,Fri,3.93,77370,16%,259-99-2591,270-960-9929,Crofton,Christian,Crofton,KY,42217,South,epbrandenburg,YIUok.~W.?5
524427,Hon.,Kindra,T,Israel,F,kindra.israel@bp.com,Marlon Israel,Letitia Israel,Kauffman,12/13/1992,10:29:37 AM,24.64,59,5/23/2014,Q2,H1,2014,5,May,May,23,Friday,Fri,3.18,115448,30%,239-99-9824,252-878-3324,Valle Crucis,Watauga,Valle Crucis,NC,28691,South,ktisrael,qYD|T{_j<t
940888,Hon.,Dusty,X,Clemmons,M,dusty.clemmons@gmail.com,Daren Clemmons,Lilliana Clemmons,Bishop,5/23/1972,2:09:50 AM,45.21,82,3/24/2013,Q1,H1,2013,3,March,Mar,24,Sunday,Sun,4.35,125001,2%,402-73-1911,270-836-9536,Scalf,Knox,Scalf,KY,40982,South,dxclemmons,rQ&}lJ\:0y9
322774,Mrs.,Melanie,G,Huffman,F,melanie.huffman@rediffmail.com,Jame Huffman,Cherie Huffman,Navarrete,12/18/1981,6:31:49 PM,35.63,60,3/3/2007,Q1,H1,2007,3,March,Mar,3,Saturday,Sat,10.41,118433,22%,453-99-0082,236-442-3818,Jetersville,Amelia,Jetersville,VA,23083,South,mghuffman,uA%?pNY@
882771,Mr.,Charles,D,Adamson,M,charles.adamson@gmail.com,Ramon Adamson,Otilia Adamson,Himes,3/31/1961,3:09:55 AM,56.36,90,10/7/2008,Q4,H2,2008,10,October,Oct,7,Tuesday,Tue,8.81,87220,14%,205-84-4596,423-574-7735,Johnson City,Washington,Johnson City,TN,37605,South,cdadamson,sbq]34Wo
723025,Mr.,Rory,S,Napier,M,rory.napier@btinternet.com,Raymond Napier,Cathie Napier,Pyle,11/3/1968,6:23:16 AM,48.76,56,2/27/1998,Q1,H1,1998,2,February,Feb,27,Friday,Fri,19.43,101601,27%,275-17-7274,215-696-3789,Spring City,Chester,Spring City,PA,19475,Northeast,rsnapier,gfEu$NPm
739173,Mr.,German,C,Edmond,M,german.edmond@aol.com,Ernie Edmond,Soon Edmond,Garcia,9/16/1976,8:13:53 PM,40.89,56,3/16/2017,Q1,H1,2017,3,March,Mar,16,Thursday,Thu,0.37,136334,12%,069-02-1289,229-324-7786,Dover,Screven,Dover,GA,30424,South,gcedmond,Xrj%2:u20Ju7S5$
499069,Hon.,Lida,T,Valdez,F,lida.valdez@bp.com,Robt Valdez,Ernestina Valdez,Fitts,10/29/1986,9:22:35 AM,30.77,54,8/20/2008,Q3,H2,2008,8,August,Aug,20,Wednesday,Wed,8.94,115263,16%,268-17-7849,209-948-0492,Fort Bidwell,Modoc,Fort Bidwell,CA,96112,West,ltvaldez,N0U^weK&H%F
870809,Mr.,Marc,I,Dowdy,M,marc.dowdy@verizon.net,Chi Dowdy,Christen Dowdy,Parkinson,2/26/1970,6:19:48 AM,47.45,73,11/4/2008,Q4,H2,2008,11,November,Nov,4,Tuesday,Tue,8.73,179555,28%,662-22-0860,210-809-1850,Sanford,Hutchinson,Sanford,TX,79078,South,midowdy,Ge>.bKMjZ6dW]
832849,Ms.,Leon,D,Bundy,F,leon.bundy@shell.com,Dino Bundy,Shari Bundy,Spurlock,8/5/1976,5:49:20 AM,41.01,58,6/25/2011,Q2,H1,2011,6,June,Jun,25,Saturday,Sat,6.1,118493,1%,571-99-6446,215-854-8134,Intercourse,Lancaster,Intercourse,PA,17534,Northeast,ldbundy,Au\RllJ}ObJA]
840702,Prof.,Dexter,U,Ness,M,dexter.ness@verizon.net,Cody Ness,Sadie Ness,York,5/8/1965,4:46:32 PM,52.26,71,10/9/1989,Q4,H2,1989,10,October,Oct,9,Monday,Mon,27.82,86298,28%,112-98-3162,405-361-1077,Oklahoma City,Oklahoma,Oklahoma City,OK,73102,South,duness,i!0x&Kb*za
433467,Mr.,Gus,Q,Carrera,M,gus.carrera@hotmail.com,Alvin Carrera,Crista Carrera,Brigham,3/17/1971,12:25:16 PM,46.4,64,3/29/2017,Q1,H1,2017,3,March,Mar,29,Wednesday,Wed,0.33,131727,8%,413-99-2720,209-451-3247,Kernville,Kern,Kernville,CA,93238,West,gqcarrera,FeWaM9Mjl;YsS
377209,Mr.,Del,K,Nelms,M,del.nelms@yahoo.com,Emmitt Nelms,Lester Nelms,Pearson,6/26/1995,1:03:28 AM,22.1,59,10/8/2016,Q4,H2,2016,10,October,Oct,8,Saturday,Sat,0.8,52147,11%,652-62-0812,239-985-1463,Saint Cloud,Osceola,Saint Cloud,FL,34770,South,dknelms,uciYPF.&gO
511059,Prof.,Humberto,W,Sauer,M,humberto.sauer@yahoo.com,Donte Sauer,Lucy Sauer,Truitt,4/11/1989,3:31:39 PM,28.32,66,11/12/2012,Q4,H2,2012,11,November,Nov,12,Monday,Mon,4.71,116308,28%,210-84-3620,231-445-8008,Jeddo,St. Clair,Jeddo,MI,48032,Midwest,hwsauer,q&_|-%P-S/
343570,Mr.,Carlo,N,Yang,M,carlo.yang@gmail.com,Cruz Yang,Jami Yang,Richardson,7/12/1962,8:44:03 PM,55.08,51,11/14/2016,Q4,H2,2016,11,November,Nov,14,Monday,Mon,0.7,141375,14%,707-18-1140,231-998-9182,University Center,Bay,University Center,MI,48710,Midwest,cnyang,Ujk%brJH^
897578,Dr.,Thanh,B,Lemus,M,thanh.lemus@hotmail.com,Walton Lemus,Keiko Lemus,Titus,11/23/1959,7:50:20 AM,57.72,77,6/15/1998,Q2,H1,1998,6,June,Jun,15,Monday,Mon,19.13,70779,22%,323-11-7051,218-790-3609,Duluth,St. Louis,Duluth,MN,55815,Midwest,tblemus,1Z|1gR}WIz1
395612,Ms.,Fumiko,J,Upton,F,fumiko.upton@charter.net,Edmond Upton,Tarah Upton,Duffy,5/6/1991,6:11:49 PM,26.25,45,1/9/2015,Q1,H1,2015,1,January,Jan,9,Friday,Fri,2.55,67320,9%,144-23-1396,209-308-2830,Pacific Grove,Monterey,Pacific Grove,CA,93950,West,fjupton,Fwn%cnKG
720840,Mr.,Monte,L,Landry,M,monte.landry@hotmail.com,Wilton Landry,Adriane Landry,Parra,6/18/1994,1:26:21 AM,23.13,60,10/13/2015,Q4,H2,2015,10,October,Oct,13,Tuesday,Tue,1.79,121027,15%,520-61-6090,319-336-7769,Salix,Woodbury,Salix,IA,51052,Midwest,mllandry,e@q>h&Vq|L~
529687,Hon.,Michael,B,Lindquist,M,michael.lindquist@verizon.net,Charles Lindquist,Carlee Lindquist,Zielinski,5/26/1964,1:26:04 PM,53.21,83,4/24/2014,Q2,H1,2014,4,April,Apr,24,Thursday,Thu,3.26,62791,25%,068-02-9007,225-435-3936,Stonewall,De Soto,Stonewall,LA,71078,South,mblindquist,g*k+r@T**/3;U.
538218,Dr.,Leopoldo,O,Amos,M,leopoldo.amos@gmail.com,Brendon Amos,Isabelle Amos,Sowers,8/23/1968,12:03:49 PM,48.96,68,11/24/1991,Q4,H2,1991,11,November,Nov,24,Sunday,Sun,25.69,162433,11%,511-33-8820,239-952-7094,Argyle,Walton,Argyle,FL,32422,South,loamos,L^QtXFs-E;
642119,Ms.,Devorah,R,Sheldon,F,devorah.sheldon@gmail.com,Jonathon Sheldon,Vickie Sheldon,Carter,4/4/1968,12:45:26 AM,49.35,41,6/19/2011,Q2,H1,2011,6,June,Jun,19,Sunday,Sun,6.11,104958,28%,397-33-6867,304-748-0882,Capels,McDowell,Capels,WV,24820,South,drsheldon,l]{:1Jd@XH[
198715,Mrs.,Robyn,U,Stump,F,robyn.stump@exxonmobil.com,Morgan Stump,Mikaela Stump,Appleton,9/10/1970,8:11:52 AM,46.91,53,2/19/2015,Q1,H1,2015,2,February,Feb,19,Thursday,Thu,2.44,81546,22%,537-71-5731,802-589-5913,Mc Indoe Falls,Caledonia,Mc Indoe Falls,VT,5050,Northeast,rustump,epZ3B*olSRB_
288601,Ms.,Else,X,Mcmillen,F,else.mcmillen@gmail.com,Vince Mcmillen,Lissette Mcmillen,Mortensen,2/10/1992,11:24:54 AM,25.48,45,10/7/2015,Q4,H2,2015,10,October,Oct,7,Wednesday,Wed,1.81,54249,20%,090-02-9876,209-899-6882,San Juan Bautista,San Benito,San Juan Bautista,CA,95045,West,exmcmillen,8\q^*ZN_0%BQ0?
254366,Hon.,Joshua,V,Latimer,M,joshua.latimer@ntlworld.com,Boyce Latimer,Deadra Latimer,Segal,12/21/1971,8:25:41 PM,45.63,60,8/28/2008,Q3,H2,2008,8,August,Aug,28,Thursday,Thu,8.92,88458,20%,027-92-0993,217-289-4633,Bloomingdale,DuPage,Bloomingdale,IL,60117,Midwest,jvlatimer,HtUx{v9w&{U
649716,Ms.,Jasmin,T,Barrow,F,jasmin.barrow@sbcglobal.net,Emmanuel Barrow,Chassidy Barrow,Worth,5/18/1978,10:41:57 PM,39.22,52,7/25/2016,Q3,H2,2016,7,July,Jul,25,Monday,Mon,1.01,196458,18%,403-73-1822,218-810-1441,Walters,Walters,Walters,MN,56092,Midwest,jtbarrow,Xq:5DY.&f
173346,Prof.,Sung,K,Muncy,M,sung.muncy@aol.com,Floyd Muncy,Jo Muncy,Muse,11/24/1985,7:21:38 AM,31.7,88,7/26/2013,Q3,H2,2013,7,July,Jul,26,Friday,Fri,4.01,162229,17%,667-48-0749,701-408-5471,Mckenzie,Burleigh,Mckenzie,ND,58553,Midwest,skmuncy,Qt}Q$wZ]EGWp|i
538297,Mr.,Darrell,D,Varela,M,darrell.varela@verizon.net,Noble Varela,Cara Varela,Fannin,5/4/1987,1:46:04 AM,30.25,51,1/5/2013,Q1,H1,2013,1,January,Jan,5,Saturday,Sat,4.56,69814,22%,458-99-6295,803-803-4056,Westville,Kershaw,Westville,SC,29175,South,ddvarela,ezQV^/Lq&u
890767,Mr.,Mose,S,Glaser,M,mose.glaser@gmail.com,Vance Glaser,Lynette Glaser,Ruby,7/2/1971,7:12:43 PM,46.1,81,6/7/2009,Q2,H1,2009,6,June,Jun,7,Sunday,Sun,8.15,115022,21%,580-41-7523,210-697-1586,Flower Mound,Denton,Flower Mound,TX,75027,South,msglaser,uC&EHSEL]nNB[U
692855,Mr.,Earl,P,Wertz,M,earl.wertz@hotmail.com,Ernesto Wertz,Noel Wertz,Saddler,9/23/1970,9:18:05 AM,46.88,75,8/31/1996,Q3,H2,1996,8,August,Aug,31,Saturday,Sat,20.92,125863,14%,530-99-9428,217-769-1167,Berwyn,Cook,Berwyn,IL,60402,Midwest,epwertz,a$QD7H:&CcL
210955,Mr.,Salvatore,Y,Shell,M,salvatore.shell@gmail.com,Reid Shell,Drema Shell,Agee,4/14/1976,12:58:54 AM,41.32,80,2/1/1999,Q1,H1,1999,2,February,Feb,1,Monday,Mon,18.5,181601,20%,355-08-5261,203-913-2552,Riverton,Litchfield,Riverton,CT,6065,Northeast,syshell,k:-+;g25ka%%!?;
563487,Dr.,Kurt,X,Driver,M,kurt.driver@bellsouth.net,Gregg Driver,Hiedi Driver,Maclean,11/26/1971,5:45:50 PM,45.7,70,3/10/2008,Q1,H1,2008,3,March,Mar,10,Monday,Mon,9.39,75403,12%,092-02-3274,270-961-9437,Muses Mills,Fleming,Muses Mills,KY,41065,South,kxdriver,sEnf?;.tf
362839,Ms.,Leigh,O,Oakes,F,leigh.oakes@yahoo.co.uk,Jonas Oakes,Tressie Oakes,Shipley,4/6/1991,10:48:23 AM,26.33,41,5/3/2016,Q2,H1,2016,5,May,May,3,Tuesday,Tue,1.24,165786,24%,515-31-8690,212-773-1735,Elma,Erie,Elma,NY,14059,Northeast,looakes,WlB!Wh@X
872656,Ms.,Mechelle,H,Shade,F,mechelle.shade@ntlworld.com,Aurelio Shade,Ai Shade,Anaya,6/28/1978,7:31:36 PM,39.11,42,4/20/2008,Q2,H1,2008,4,April,Apr,20,Sunday,Sun,9.28,190063,5%,244-99-5593,303-646-9081,Almont,Gunnison,Almont,CO,81210,West,mhshade,ZBeR5D83v#
664660,Mr.,Teodoro,G,Steiner,M,teodoro.steiner@aol.com,Dorsey Steiner,Athena Steiner,Burgess,6/1/1988,2:00:03 AM,29.18,84,6/21/2009,Q2,H1,2009,6,June,Jun,21,Sunday,Sun,8.11,178786,13%,493-29-4691,406-847-5239,Kinsey,Custer,Kinsey,MT,59338,West,tgsteiner,BsG8?|]k
569849,Hon.,Jacqualine,D,Peterman,F,jacqualine.peterman@hotmail.co.uk,Gregory Peterman,Lacresha Peterman,Colwell,7/18/1993,5:58:28 PM,24.04,54,9/17/2015,Q3,H2,2015,9,September,Sep,17,Thursday,Thu,1.86,67842,5%,619-87-6673,210-778-6843,Dallas,Dallas,Dallas,TX,75231,South,jdpeterman,pg7~5~Pf3Z4
373115,Mr.,Jackie,W,Esposito,M,jackie.esposito@yahoo.com,Theo Esposito,Joana Esposito,Maher,12/24/1979,5:32:07 AM,37.62,59,1/5/2010,Q1,H1,2010,1,January,Jan,5,Tuesday,Tue,7.56,77884,30%,159-86-7446,339-351-3060,Hampden,Hampden,Hampden,MA,1036,Northeast,jwesposito,r5uY#Hl-.R!
347756,Mr.,Claudio,Q,Montgomery,M,claudio.montgomery@yahoo.com,Hector Montgomery,Kathern Montgomery,Riggins,1/11/1965,6:06:23 AM,52.58,88,4/19/2012,Q2,H1,2012,4,April,Apr,19,Thursday,Thu,5.28,43813,26%,657-36-9778,304-318-1051,White Oak,Raleigh,White Oak,WV,25989,South,cqmontgomery,k>iv<ug.pnSCmb
263367,Prof.,Gerard,G,Libby,M,gerard.libby@walmart.com,Loren Libby,Marybelle Libby,Sprouse,10/20/1993,2:15:51 AM,23.79,61,1/28/2017,Q1,H1,2017,1,January,Jan,28,Saturday,Sat,0.5,152828,17%,632-31-3254,605-672-7970,Milbank,Grant,Milbank,SD,57252,Midwest,gglibby,yEVpDY:2tP*l
171318,Hon.,Ilana,S,Plummer,F,ilana.plummer@gmail.com,Lindsey Plummer,Elaina Plummer,Walter,3/19/1981,2:04:37 AM,36.38,45,12/12/2006,Q4,H2,2006,12,December,Dec,12,Tuesday,Tue,10.63,63231,19%,481-41-8036,206-822-6502,Touchet,Walla Walla,Touchet,WA,99360,West,isplummer,Z&-0Df?@P
920812,Mr.,Lloyd,V,Faulkner,M,lloyd.faulkner@hotmail.com,Ben Faulkner,Ronna Faulkner,Ashford,5/7/1994,11:24:37 AM,23.24,78,5/20/2017,Q2,H1,2017,5,May,May,20,Saturday,Sat,0.19,199683,28%,420-67-0380,319-783-2596,Dewar,Black Hawk,Dewar,IA,50623,Midwest,lvfaulkner,s<jeL6\NZwq
301138,Mr.,Rodney,K,Fabian,M,rodney.fabian@gmail.com,Preston Fabian,Jade Fabian,Carlin,1/17/1994,11:42:16 AM,23.54,76,10/7/2015,Q4,H2,2015,10,October,Oct,7,Wednesday,Wed,1.81,61027,6%,699-16-6524,319-313-1338,Gilmore City,Humboldt,Gilmore City,IA,50541,Midwest,rkfabian,iIkY81fwNphw
