Emp ID,First Name,Last Name,Gender,E Mail,Date of Birth,Date of Joining,Age in Company (Years),Salary,Last % Hike,Place Name,County,State,Zip
511059,Humberto,Sauer,M,humberto.sauer@yahoo.com,4/11/1989,11/12/2012,4.71,116308,28%,Jeddo,St. Clair,MI,48032
754455,Anastasia,Childers,F,anastasia.childers@hotmail.com,12/20/1988,2/26/2011,6.42,184099,24%,Dallas,Barron,WI,54733
489275,Collene,Kidd,F,collene.kidd@shell.com,2/25/1965,8/14/1993,23.97,59428,7%,Reedley,Fresno,CA,93654
500905,Harris,Beavers,M,harris.beavers@shell.com,9/14/1970,1/29/1999,18.51,147337,14%,Brandon,Hillsborough,FL,33511
984409,Kathe,John,F,kathe.john@gmail.com,6/15/1992,12/28/2013,3.58,91921,28%,Hallsville,Ross,OH,45633
812053,Ashly,Stanton,F,ashly.stanton@gmail.com,12/13/1992,2/10/2014,3.46,143236,17%,Belvidere,Boone,IL,61008
550206,Geraldo,Easley,M,geraldo.easley@shaw.ca,3/28/1974,5/6/2002,15.24,84087,1%,Dallas,Dallas,TX,75363
728053,Leigh,Fite,M,leigh.fite@gmail.com,7/16/1967,6/3/2004,13.16,87149,27%,Berwick,Warren,IL,61417
184257,Devon,Knox,F,devon.knox@gmail.com,3/24/1979,9/3/2005,11.91,111117,14%,Vienna,Fairfax,VA,22184
235295,Yevette,Mullis,F,yevette.mullis@gmail.com,4/8/1972,10/14/1995,21.8,129752,22%,Lakewood,Cuyahoga,OH,44107
767674,Irena,Dang,F,irena.dang@gmail.com,1/22/1972,2/24/2009,8.43,192236,10%,Crockett,Wythe,VA,24323
391837,Cory,Hayden,M,cory.hayden@gmail.com,7/20/1966,3/31/1992,25.34,79619,24%,Genesee Depot,Waukesha,WI,53127
466560,Dolores,Begley,F,dolores.begley@hotmail.com,12/16/1981,3/21/2016,1.35,182967,13%,Shasta Lake,Shasta,CA,96019
900756,Benjamin,Doss,M,benjamin.doss@gmail.com,6/1/1984,3/31/2010,7.33,126429,23%,Lookout Mountain,Walker,GA,30750
678628,Theron,Farmer,M,theron.farmer@gmail.com,5/16/1969,7/8/2015,2.06,85523,17%,Sesser,Franklin,IL,62884
492527,Hilton,Mcgehee,M,hilton.mcgehee@microsoft.com,7/26/1986,3/18/2009,8.37,149794,18%,Sterling Heights,Macomb,MI,48312
886060,Sixta,Beaudoin,F,sixta.beaudoin@gmail.com,3/4/1975,2/29/2004,13.42,122324,1%,Hood,Madison,VA,22723
366431,Sade,Shay,F,sade.shay@gmail.com,12/6/1994,1/20/2016,1.52,58708,4%,Oktaha,Muskogee,OK,74450
331297,Shemika,Beckman,F,shemika.beckman@hotmail.com,10/18/1967,2/7/2003,14.48,117633,28%,Briar,Ripley,MO,63931
496541,Winfred,Gonzales,M,winfred.gonzales@aol.com,3/10/1964,1/18/2016,1.53,126630,2%,Orefield,Lehigh,PA,18069
654617,Rogelio,Woodall,M,rogelio.woodall@gmail.com,12/19/1972,12/22/1996,20.61,172325,5%,Wells,Wells,KS,67488
163409,Damion,Rafferty,M,damion.rafferty@yahoo.com,10/27/1974,3/20/2015,2.36,167184,10%,Bartlett,Cook,IL,60103
299088,Dannie,Catron,M,dannie.catron@earthlink.net,4/20/1979,10/13/2016,0.79,176777,1%,Eldersville,Washington,PA,15036
961442,Stephan,Titus,M,stephan.titus@hotmail.com,3/7/1968,10/17/2009,7.78,115488,29%,Reelsville,Putnam,IN,46171
155097,Dorian,Sage,M,dorian.sage@shaw.ca,7/27/1970,7/14/1992,25.05,66883,1%,Perry Park,Owen,KY,40363
976422,Jake,Espinal,M,jake.espinal@shaw.ca,1/19/1959,9/25/2003,13.85,140108,19%,Ventura,Ventura,CA,93003
138911,Claudio,Heck,M,claudio.heck@aol.com,9/28/1967,5/14/2005,12.21,48198,22%,Hershey,Dauphin,PA,17033
160938,Marcel,Trotter,M,marcel.trotter@aol.com,2/1/1985,4/25/2006,11.27,50635,14%,Aberdeen,Brown,SD,57401
399707,Dillon,Dominguez,M,dillon.dominguez@gmail.com,10/22/1963,1/29/2015,2.5,53198,3%,Hawley,Clay,MN,56549
713294,Sammy,Dewitt,M,sammy.dewitt@ibm.com,1/24/1988,12/5/2014,2.65,45889,21%,Redondo,King,WA,98054
627298,Sterling,Serna,M,sterling.serna@hotmail.com,4/15/1985,11/17/2015,1.7,136675,26%,Godeffroy,Orange,NY,12739
709884,Ivonne,Manning,F,ivonne.manning@yahoo.ca,9/13/1977,6/29/2002,15.09,87746,14%,Donnybrook,Ward,ND,58734
932773,Clair,Harwell,M,clair.harwell@bp.com,8/11/1968,4/14/1991,26.31,194249,8%,Portland,Chautauqua,NY,14769
796605,Jenni,Goolsby,F,jenni.goolsby@gmail.com,5/13/1971,10/10/2005,11.81,185593,30%,Ripplemead,Giles,VA,24150
885395,Tayna,Poston,F,tayna.poston@yahoo.ca,1/15/1958,1/30/2016,1.49,149011,23%,San Diego,San Diego,CA,92126
411503,Vern,Mackenzie,M,vern.mackenzie@gmail.com,7/3/1982,12/31/2016,0.57,76401,15%,Annandale,Fairfax,VA,22003
622405,Harrison,Hawk,M,harrison.hawk@hotmail.co.uk,7/19/1962,6/26/2006,11.1,191292,4%,Dallas,Dallas,TX,75224
233136,Preston,Tribble,M,preston.tribble@exxonmobil.com,11/4/1979,3/20/2004,13.36,185438,22%,Orofino,Clearwater,ID,83544
170637,Aleen,Araujo,F,aleen.araujo@gmail.com,5/10/1978,11/7/2004,12.73,56546,22%,Mobile,Mobile,AL,36685
215719,Brent,Carrillo,M,brent.carrillo@aol.com,4/2/1973,3/30/2013,4.33,192586,9%,Lowell,Marion,FL,32663
452163,Adalberto,Tate,M,adalberto.tate@shaw.ca,3/31/1982,8/15/2009,7.96,46371,24%,Canton,Stark,OH,44750
572204,Rafael,Weeks,M,rafael.weeks@gmail.com,6/7/1992,10/31/2016,0.74,49301,26%,Niverville,Columbia,NY,12130
779517,Aurea,Pullen,F,aurea.pullen@gmail.com,7/22/1973,10/25/2016,0.76,137648,22%,Davenport,Polk,FL,33836
844157,Ramiro,Holguin,M,ramiro.holguin@gmail.com,6/1/1958,11/18/2002,14.7,171193,18%,Mount Eaton,Wayne,OH,44659
312726,Celine,Lumpkin,F,celine.lumpkin@gmail.com,12/31/1986,1/22/2008,9.52,124808,14%,Cleveland,Cuyahoga,OH,44178
419549,Bryant,Naylor,M,bryant.naylor@hotmail.com,7/19/1993,10/21/2014,2.77,131219,12%,Fort Fairfield,Aroostook,ME,4742
505927,Oswaldo,Winchester,M,oswaldo.winchester@gmail.com,4/8/1959,9/11/1989,27.9,100218,12%,Little Rock,Pulaski,AR,72231
526254,Kacy,Crandall,F,kacy.crandall@hotmail.com,9/8/1961,12/25/1983,33.61,178521,25%,Union City,Fulton,GA,30291
460226,Brock,Hutcherson,M,brock.hutcherson@hotmail.com,3/6/1995,10/16/2016,0.78,137705,1%,Clemson,Pickens,SC,29631
840113,Ramiro,Conover,M,ramiro.conover@earthlink.net,7/26/1992,9/16/2016,0.86,187877,2%,Lee,Penobscot,ME,4455
432820,Myron,Marble,M,myron.marble@gmail.com,12/13/1980,6/12/2004,13.13,164189,14%,Torbert,Pointe Coupee,LA,70781
957596,Freeman,Kern,M,freeman.kern@gmail.com,7/11/1963,5/10/1987,30.24,124776,18%,Powderhorn,Gunnison,CO,81243
530134,Mathew,Whitfield,M,mathew.whitfield@gmail.com,10/9/1986,8/25/2015,1.93,84449,3%,Garvin,McCurtain,OK,74736
316372,Alexander,Goad,M,alexander.goad@cox.net,5/21/1965,7/24/1994,23.03,71123,2%,Laquey,Pulaski,MO,65534
501658,Renee,Beverly,F,renee.beverly@rediffmail.com,7/1/1977,7/18/2015,2.03,104020,2%,Goehner,Seward,NE,68364
147133,Tommie,Weller,M,tommie.weller@cox.net,8/9/1959,7/15/2002,15.05,136568,30%,Dearing,McDuffie,GA,30808
551149,Michale,Colson,M,michale.colson@comcast.net,11/18/1961,8/20/2002,14.95,115204,22%,San Diego,San Diego,CA,92175
595558,Denisha,Fitch,F,denisha.fitch@msn.com,10/21/1990,4/28/2017,0.25,140459,8%,Coahoma,Howard,TX,79511
637407,Napoleon,Kelsey,M,napoleon.kelsey@hotmail.com,8/7/1995,12/8/2016,0.64,91209,19%,Saint Petersburg,Pinellas,FL,33734
597741,Tonya,Wilson,F,tonya.wilson@aol.com,4/27/1980,1/7/2013,4.56,109416,7%,Springtown,Bucks,PA,18081
403534,Clement,Hidalgo,M,clement.hidalgo@gmail.com,3/9/1960,2/11/1988,29.48,113419,11%,Attleboro Falls,Bristol,MA,2763
314661,Charles,Quintero,F,charles.quintero@gmail.com,3/27/1958,12/22/2012,4.6,115542,9%,Silver Creek,Wright,MN,55380
317987,Chastity,Pineda,F,chastity.pineda@shaw.ca,5/9/1975,6/19/2010,7.11,136780,26%,Bassett,Kenosha,WI,53101
820109,Verna,Michaud,F,verna.michaud@gmail.com,5/4/1993,10/20/2015,1.77,100243,25%,Washington,Washington,PA,15301
388558,Alfred,Beamon,M,alfred.beamon@gmail.com,7/7/1963,3/22/2003,14.36,118321,0%,Custer,Yellowstone,MT,59024
403207,Michal,Maurer,F,michal.maurer@yahoo.com,12/8/1976,5/1/2000,17.25,48687,11%,White Plains,Surry,NC,27031
143711,Wenona,Carmichael,F,wenona.carmichael@yahoo.com,8/31/1964,8/31/2005,11.92,53789,30%,Walkerton,St. Joseph,IN,46574
402180,Allan,Bernhardt,M,allan.bernhardt@gmail.com,1/24/1962,1/2/1987,30.59,119879,18%,Washington,District of Columbia,DC,20380
242388,Nam,Schmidt,F,nam.schmidt@yahoo.co.uk,4/8/1993,1/27/2016,1.5,147420,14%,Fairmount,Grant,IN,46928
819367,Yolande,Piper,F,yolande.piper@gmail.com,10/9/1966,4/14/1998,19.3,57365,0%,Velpen,Pike,IN,47590
962291,Whitney,Shipman,M,whitney.shipman@gmail.com,10/26/1982,5/18/2007,10.2,99825,10%,Toledo,Tama,IA,52342
856379,Terence,Ferro,M,terence.ferro@gmail.com,1/18/1982,4/23/2015,2.27,125561,4%,Madison,Dane,WI,53718
149972,Alberto,Riley,M,alberto.riley@gmail.com,1/13/1974,12/17/2004,12.62,59008,4%,Eldorado,Saline,IL,62930
174955,Jacqueline,Burk,F,jacqueline.burk@verizon.net,6/28/1989,9/23/2012,4.85,96703,1%,Saranac Lake,Franklin,NY,12983
549389,Clemente,Gould,M,clemente.gould@hotmail.com,12/31/1961,10/2/1992,24.84,59506,1%,Pearl,Rankin,MS,39288
466832,Chang,Roden,F,chang.roden@yahoo.com,9/7/1988,8/6/2010,6.98,53430,21%,Salina,Saline,KS,67402
203380,Marvin,Nickel,M,marvin.nickel@ibm.com,11/25/1986,10/6/2012,4.81,94656,27%,Welchs Creek,Butler,KY,42287
915991,Eldora,Tribble,F,eldora.tribble@earthlink.net,5/29/1995,10/17/2016,0.78,91984,4%,Mine Run,Mine Run,VA,22568
289172,Azzie,Layman,F,azzie.layman@hotmail.co.uk,9/6/1961,3/26/2004,13.35,126984,2%,Salem,Salem,OR,97317
914365,Titus,Latimer,M,titus.latimer@gmail.com,7/24/1971,6/1/1998,19.17,51037,25%,Holmes Beach,Manatee,FL,34218
971242,Shantell,Long,F,shantell.long@gmail.com,2/26/1977,11/3/2006,10.74,181720,1%,Hollywood,Broward,FL,33025
503248,Cameron,Irvin,F,cameron.irvin@yahoo.com,10/18/1959,3/18/2011,6.37,111147,6%,Annville,Lebanon,PA,17003
521540,Virgilio,Messer,M,virgilio.messer@aol.com,3/25/1993,3/17/2017,0.36,68439,15%,Sturgis,Oktibbeha,MS,39769
790395,Eboni,Lujan,F,eboni.lujan@hotmail.com,12/15/1993,2/11/2017,0.46,109836,27%,Athens,Fulton,IN,46912
734861,Ward,Gauthier,M,ward.gauthier@hotmail.com,8/22/1968,10/29/2015,1.75,75831,30%,Greencastle,Franklin,PA,17225
592815,Yasuko,Gandy,F,yasuko.gandy@gmail.com,5/6/1980,8/7/2013,3.98,97289,8%,Winterset,Madison,IA,50273
556008,Agustin,Eden,M,agustin.eden@yahoo.co.in,6/5/1961,3/1/2015,2.41,184585,1%,Buffalo,Erie,NY,14272
888597,Sunny,Mccreary,F,sunny.mccreary@rediffmail.com,6/21/1978,10/7/2005,11.81,57688,10%,Bostwick,Morgan,GA,30623
946550,Janyce,Hollenbeck,F,janyce.hollenbeck@gmail.com,4/30/1966,1/20/1990,27.54,183408,18%,Brea,Orange,CA,92821
438869,Bernardo,Caron,M,bernardo.caron@cox.net,11/1/1984,1/2/2008,9.58,121161,18%,Chester Springs,Chester,PA,19425
685600,Leon,Keeling,M,leon.keeling@gmail.com,10/13/1995,12/25/2016,0.59,73165,24%,Clearview,Clearview,OK,74835
829901,Walker,Foley,M,walker.foley@hotmail.com,5/14/1960,8/24/2002,14.94,71361,15%,Rock Spring,Walker,GA,30739
354626,Rolando,Bickford,M,rolando.bickford@gmail.com,10/16/1975,2/12/2017,0.45,184147,11%,Trona,San Bernardino,CA,93562
296454,Glenn,Pace,M,glenn.pace@gmail.com,6/22/1984,8/10/2014,2.97,193671,27%,Sterling,Sterling,VA,22170
867400,Tandy,Binkley,F,tandy.binkley@msn.com,4/29/1963,8/30/2005,11.92,151456,6%,Creswell,Washington,NC,27928
354161,Irving,Toler,M,irving.toler@exxonmobil.com,2/20/1990,2/22/2012,5.43,109029,12%,Casanova,Casanova,VA,22017
906193,Elin,Mayes,F,elin.mayes@aol.com,9/23/1983,4/20/2006,11.28,93526,11%,Ames,Dodge,NE,68621
602041,William,Katz,M,william.katz@shell.com,6/17/1976,1/18/2001,16.53,118383,3%,South Lake Tahoe,El Dorado,CA,96152
514224,Silvana,Leclair,F,silvana.leclair@gmail.com,10/12/1994,8/22/2016,0.93,178763,15%,Richardson,Dallas,TX,75080
834046,Kirby,Hendrick,M,kirby.hendrick@aol.com,2/8/1958,2/19/1979,38.46,182772,5%,Portland,Multnomah,OR,97233
538803,Rubin,Newman,M,rubin.newman@outlook.com,6/10/1977,7/4/1998,19.08,85306,18%,Hancock,Addison,VT,5748
487412,Lee,Roderick,M,lee.roderick@aol.com,6/25/1963,4/28/2009,8.25,184020,0%,Wardsboro,Windham,VT,5355
286281,Jesus,Maupin,M,jesus.maupin@gmail.com,5/23/1958,3/15/1996,21.38,58924,29%,North Newton,Harvey,KS,67117
788924,Riley,Yocum,M,riley.yocum@earthlink.net,9/12/1964,12/18/2013,3.61,191075,9%,Lelia Lake,Donley,TX,79240
416576,Nova,Bouchard,F,nova.bouchard@gmail.com,5/4/1964,1/26/2003,14.51,194028,27%,South Beach,Lincoln,OR,97366
960215,Shandra,Layman,F,shandra.layman@gmail.com,3/10/1973,11/16/2013,3.7,136956,15%,Lowndesville,Abbeville,SC,29659
549513,Jacquie,Burkett,F,jacquie.burkett@aol.com,2/8/1986,1/11/2016,1.55,42810,28%,Wichita,Sedgwick,KS,67217
509864,Nelle,Kenney,F,nelle.kenney@microsoft.com,2/25/1989,12/5/2016,0.64,111332,14%,Midkiff,Lincoln,WV,25540
832966,Rich,Whitmore,M,rich.whitmore@hotmail.com,5/30/1991,9/26/2015,1.84,57513,14%,Dallas,Dallas,TX,75210
306746,Antoine,Hendrick,M,antoine.hendrick@yahoo.com,10/5/1960,3/1/1996,21.42,113726,22%,Adkins,Bexar,TX,78101
945031,Blaine,Judkins,M,blaine.judkins@gmail.com,5/14/1986,2/5/2010,7.48,170820,19%,Highland,Doniphan,KS,66035
684637,Raymundo,Poirier,M,raymundo.poirier@aol.com,12/14/1986,1/2/2008,9.58,72342,14%,San Jose,Santa Clara,CA,95196
891328,Blair,Tapia,M,blair.tapia@hotmail.com,10/30/1969,7/14/2007,10.05,139366,10%,Tonasket,Okanogan,WA,98855
383614,Charley,Cabrera,M,charley.cabrera@gmail.com,4/21/1984,12/9/2010,6.64,173520,24%,Richmond,Contra Costa,CA,94850
180789,Heath,Hartley,M,heath.hartley@cox.net,5/27/1975,4/15/2016,1.28,75385,18%,Amarillo,Potter,TX,79103
356050,Zack,Singh,M,zack.singh@gmail.com,4/12/1987,3/10/2012,5.39,146810,10%,Monterey Park,Los Angeles,CA,91756
185465,Zaida,Odum,F,zaida.odum@btinternet.com,4/19/1967,2/9/2011,6.47,111471,17%,Meridian,Lauderdale,MS,39305
687184,Porfirio,Slone,M,porfirio.slone@hotmail.com,6/22/1990,4/2/2015,2.32,190682,17%,Pelzer,Anderson,SC,29669
489916,Ryan,Morrell,M,ryan.morrell@hotmail.com,10/20/1979,2/14/2006,11.46,103469,1%,Barnes City,Mahaska,IA,50027
435833,Luther,Hannan,M,luther.hannan@yahoo.com,7/19/1995,10/12/2016,0.79,183847,30%,Cook Springs,St. Clair,AL,35052
702411,Deon,Elizondo,M,deon.elizondo@yahoo.com,8/25/1993,2/18/2017,0.44,156494,30%,West Charleston,Orleans,VT,5872
645244,Dana,Brinson,F,dana.brinson@gmail.com,11/13/1989,9/2/2014,2.9,107214,22%,Clayton,Norton,KS,67629
755710,Manual,Dupuis,M,manual.dupuis@yahoo.com,1/15/1978,6/9/2009,8.14,79066,22%,Munfordville,Hart,KY,42765
329638,Kenton,Franz,M,kenton.franz@gmail.com,12/12/1973,9/26/2014,2.84,161470,20%,Mountain View,Kiowa,OK,73062
947428,Julian,Bull,M,julian.bull@gmail.com,5/20/1981,7/8/2010,7.06,70382,29%,Alexandria,Fairfax,VA,22321
353117,Deon,Heath,M,deon.heath@gmail.com,8/5/1959,6/20/2001,16.12,65276,3%,Harris,Rutherford,NC,28074
525537,Angela,Landers,F,angela.landers@verizon.net,12/12/1958,1/17/1981,36.55,185702,29%,Waterloo,DeKalb,IN,46793
117598,Heidi,Reiter,F,heidi.reiter@gmail.com,11/3/1977,5/11/2009,8.22,99103,2%,Garden City,Glasscock,TX,79739
957898,Gayle,Green,M,gayle.green@gmail.com,1/16/1961,12/17/2016,0.61,164865,19%,Mc Andrews,Pike,KY,41543
643106,Janey,Swift,F,janey.swift@yahoo.com,9/4/1979,9/29/2016,0.83,99681,9%,Clearwater,Pinellas,FL,33758
691376,Emilio,Courtney,M,emilio.courtney@hotmail.com,3/2/1980,1/19/2014,3.52,128932,23%,Boerne,Bexar,TX,78015
290435,Brinda,Lowell,F,brinda.lowell@charter.net,5/16/1980,6/15/2015,2.12,170078,19%,New Lisbon,Juneau,WI,53950
428318,Alexander,Lange,M,alexander.lange@yahoo.com,10/14/1963,5/28/1994,23.18,129950,11%,South Bend,St. Joseph,IN,46612
709493,Frank,Reinhardt,M,frank.reinhardt@earthlink.net,9/20/1979,8/5/2011,5.98,190401,14%,Waukee,Dallas,IA,50263
837051,Monty,Pryor,M,monty.pryor@gmail.com,10/8/1992,2/12/2014,3.46,98844,17%,Haxtun,Phillips,CO,80731
818907,Brinda,Fortune,F,brinda.fortune@aol.com,12/2/1969,1/10/1996,21.56,54128,19%,Milesburg,Centre,PA,16853
613084,Benny,Couture,M,benny.couture@aol.com,11/27/1962,9/12/1984,32.9,176431,6%,Magee,Simpson,MS,39111
400205,Monty,Vogel,M,monty.vogel@gmail.com,3/31/1992,1/12/2016,1.54,195061,11%,Golden Gate,Wayne,IL,62843
363221,Lester,Coughlin,F,lester.coughlin@gmail.com,9/2/1977,3/16/2016,1.37,172559,25%,Meadowview,Washington,VA,24361
445473,Shellie,Herring,F,shellie.herring@aol.com,7/24/1969,5/23/1997,20.19,89898,11%,Farmingdale,Nassau,NY,11774
229262,Kerrie,Chiu,F,kerrie.chiu@shell.com,4/16/1971,7/10/2009,8.05,138378,29%,Dunreith,Henry,IN,47337
952927,Gerard,Dickens,M,gerard.dickens@aol.com,4/24/1977,5/19/2008,9.2,141445,23%,Denver,Denver,CO,80239
723502,Parker,Tuck,M,parker.tuck@hotmail.com,2/8/1965,6/10/2000,17.14,76726,1%,Jal,Lea,NM,88252
642626,Riva,Hannan,F,riva.hannan@bellsouth.net,8/19/1978,6/20/2010,7.11,67436,20%,Mount Tremper,Ulster,NY,12457
470485,Steve,Mercier,M,steve.mercier@exxonmobil.com,12/11/1982,1/18/2007,10.53,55645,5%,Glendon,Glendon,NC,27251
620100,Fleta,Sutton,F,fleta.sutton@walmart.com,12/1/1958,1/28/2015,2.5,79993,28%,Sandgap,Jackson,KY,40481
771679,Chung,Corbett,M,chung.corbett@aol.com,3/9/1976,6/27/2008,9.09,110027,6%,Ravensdale,King,WA,98051
904561,Frieda,Forster,F,frieda.forster@hotmail.co.uk,3/16/1992,9/26/2013,3.84,140698,12%,Springboro,Crawford,PA,16435
465279,Sirena,Fogle,F,sirena.fogle@aol.com,6/25/1992,11/5/2015,1.73,156369,20%,Manton,Wexford,MI,49663
293923,Alisha,Bard,F,alisha.bard@ntlworld.com,7/15/1966,10/1/1990,26.84,136301,17%,Amanda Park,Grays Harbor,WA,98526
331158,Deedee,Mercado,F,deedee.mercado@aol.com,5/31/1964,2/25/1995,22.44,185675,1%,Canoga Park,Los Angeles,CA,91305
483286,Cecile,Driver,F,cecile.driver@gmail.com,8/8/1981,5/26/2010,7.18,180045,24%,Nova,Ashland,OH,44859
957621,Roosevelt,Nava,M,roosevelt.nava@gmail.com,8/22/1975,9/24/1998,18.85,79463,2%,Scaly Mountain,Macon,NC,28775
464683,Floyd,Bollinger,M,floyd.bollinger@verizon.net,9/1/1976,9/10/2004,12.89,123620,25%,Jackson,Hinds,MS,39232
431073,Lacey,Jones,F,lacey.jones@hotmail.com,2/3/1991,9/24/2014,2.84,193913,30%,Miami,Miami-Dade,FL,33156
346953,Larry,Dial,M,larry.dial@yahoo.com,10/30/1991,10/7/2016,0.81,124743,3%,Mio,Oscoda,MI,48647
209718,Joel,Holiday,M,joel.holiday@shell.com,9/16/1986,10/27/2008,8.76,57125,25%,Cheyenne,Laramie,WY,82010
179094,Camilla,Malloy,F,camilla.malloy@aol.com,4/17/1971,5/31/2006,11.17,155359,18%,Milburn,Johnston,OK,73450
209065,Tyron,Lash,M,tyron.lash@yahoo.com,12/18/1971,11/18/1994,22.71,84517,3%,Philadelphia,Philadelphia,PA,19193
915973,Joey,Wren,M,joey.wren@hotmail.com,3/10/1966,1/4/2015,2.56,55467,24%,Monterey,Berkshire,MA,1245
793674,Hubert,Ferrer,M,hubert.ferrer@yahoo.com,2/28/1983,6/7/2009,8.15,57335,3%,Gilbert,Searcy,AR,72636
665291,Jason,Yarbrough,M,jason.yarbrough@aol.com,4/29/1996,6/29/2017,0.08,177581,4%,Wesson,Copiah,MS,39191
258503,Raymond,Homan,M,raymond.homan@gmail.com,7/20/1969,7/31/2011,6,149296,11%,Taunton,Lyon,MN,56291
910235,Carmen,Cazares,M,carmen.cazares@bellsouth.net,8/28/1960,6/15/2016,1.12,146798,10%,San Francisco,San Francisco,CA,94126
605376,Daisy,Noland,F,daisy.noland@yahoo.com,1/15/1962,1/16/2006,11.54,86352,15%,Hunter,Garfield,OK,74640
291167,Archie,Caban,M,archie.caban@hotmail.co.uk,4/1/1986,3/16/2010,7.37,181508,30%,Pismo Beach,San Luis Obispo,CA,93448
864600,Bryan,Labbe,M,bryan.labbe@gmail.com,10/10/1978,3/10/2008,9.39,64584,7%,Eugene,Lane,OR,97405
862997,Shae,Dowdell,F,shae.dowdell@gmail.com,6/23/1968,9/28/1989,27.85,179721,3%,Des Moines,Polk,IA,50339
989496,Bertha,Meador,F,bertha.meador@aol.com,6/23/1979,5/18/2002,15.21,51216,13%,Livermore,Alameda,CA,94550
411593,Rick,Miles,M,rick.miles@gmail.com,6/16/1978,2/17/2017,0.44,136017,23%,Harwood,Anne Arundel,MD,20776
462737,Lon,Carmona,M,lon.carmona@yahoo.com,5/30/1985,11/12/2014,2.71,53753,9%,Brimfield,Hampden,MA,1010
634772,Linnie,Christiansen,F,linnie.christiansen@ibm.com,8/18/1978,7/27/2006,11.01,54128,23%,Talcott,Summers,WV,24981
864491,Terica,Finney,F,terica.finney@cox.net,4/7/1975,9/5/2014,2.9,142250,4%,Dunbar,Marinette,WI,54119
771200,Jae,Nowlin,M,jae.nowlin@gmail.com,11/6/1976,8/26/2016,0.92,120141,27%,Campobello,Spartanburg,SC,29322
541253,Jame,Marchand,M,jame.marchand@aol.com,8/9/1985,4/21/2011,6.27,169702,13%,Appleton,Swift,MN,56208
704999,Larisa,Baines,F,larisa.baines@gmail.com,4/27/1995,8/27/2016,0.92,181320,10%,Houston,Harris,TX,77205
847603,Delsie,Rees,F,delsie.rees@msn.com,4/8/1987,12/31/2012,4.58,135558,26%,Clark,Mercer,PA,16113
462706,Janna,Spooner,F,janna.spooner@aol.com,4/28/1971,11/23/2004,12.68,175569,24%,Port Edwards,Wood,WI,54469
